view oth element,check,xP4]utt number,utt proposition number,proposition type,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in
,,147.00 ,2,descriptor,dad,EXTENT DAD,,,
,,147.00 ,3,similarity,pm man,(IS LIKE),dad,,
,,148.00 ,1,descriptor,(wind up toy),EXIST SHAPE,,,
,,148.00 ,2,transform,(someone),TWIST,(wind up toy),,
,,149.00 ,1,existence,pumpkin,(---),,,
,,150.00 ,1,descriptor,(smile),TRACE SMILE,,,
,,150.00 ,2,descriptor,(pumpkin head),TRACE CIRCLE,,,
,,151.00 ,1,existence,pumpkin,(---),,,
,,152.00 ,1,existence,owl,(---),,,
,,152.00 ,2,existence,walrus,(---),,,
,,152.00 ,3,transform,(someone),MOVE BACK AND FORTH,pumpkin,,(mouth) | |
,,152.00 ,4,transform,(someone),BITE,pumpkin,,
,,153.00 ,1,existence,umbrella,(---),,,
,,153.00 ,2,existence,owl,(---),,,
,,154.00 ,1,existence,owl,(---),,,
,,154.00 ,2,existence,present,(---),,,
,,154.00 ,3,existence,queen,(---),,,
,,154.00 ,4,existence,turtle,(---),,,
,,155.00 ,1,descriptor,(turtle shell),TRACE SHELL,,,
,,156.00 ,1,existence,spider,(---),,,
,,156.00 ,2,existence,turtle,(---),,,
,,156.00 ,3,existence,yarn,(---),,,
,,156.00 ,4,transform,(someone),PRESS,zipper,,
,,156.00 ,5,transfer,(someone),MOVE UP,zipper,(neck),
,,156.00 ,6,existence,xylophone,(---),,,
,,157.00 ,1,stat poss,fin,(BELONGS TO),,xiphias,
,,157.00 ,2,transport,xiphias,GO BACK AND FORTH,,,
,,157.00 ,3,transform,(aysenur),PICK UP,xiphias,,
,,157.00 ,4,transfer,(aysenur),MOVE UP,xiphias,(mouth),
,,157.00 ,5,perform,(aysenur),CHEW,,,
,,158.00 ,1,stat poss,tooth,(BELONGS TO),,walrus,
,,159.00 ,1,q,,,,,
,,160.00 ,1,descriptor,(moose),TRACE MOOSE,,,
,,161.00 ,1,descriptor,(moth),TRACE MOTH,,,
,,162.00 ,1,descriptor,kenny bear ,POSE KENNY BEAR,,,
,,163.00 ,1,existence,kenny bear 1,(---),,,
,,163.00 ,2,existence,kenny bear 2,(---),,,
,,163.00 ,3,existence,sink,(---),,,
,,163.00 ,4,transform,kenny bear 1,MOVE AROUND,(washcloth),,
,,164.00 ,1,existence,towel,(---),,,
,,164.00 ,2,existence,kenny bear 1,(---),,,
,,164.00 ,3,transfer,kenny bear 2,MOVE DOWN,(comb),(hair),
,,164.00 ,4,existence,kenny bear 3,(---),,,
,,164.00 ,5,existence,table,(---),,,
,,164.00 ,6,existence,maple syrup,(---),,,
,,164.00 ,7,transfer,(someone),MOVE UP,(spoon),(mouth),
,,164.00 ,8,transform,(aysenur),BITE,(spoon),,
,,164.50 ,1,transform,(aysenur),MOVE BACK AND FORTH,(toothbrush),,
,,164.70 ,1,transfer,(aysenur),PULL DOWN,(tie),(chest),
,,164.70 ,2,transport,(shoulders),GO UP,,(ears),
,,165.00 ,1,transform,(aysenur),HOLD ROUND SHAPE,carrots,,
,,165.00 ,2,transform,(aysenur),MOVE BACK AND FORTH,carrots,,
,,165.00 ,3,transform,(aysenur),CHEW,carrots,,
,,166.00 ,1,existence,self,(---),,,
,,167.00 ,1,transform,molly,TICKLE,(molly foot),,
,,167.00 ,2,similarity,(molly foot),(IS LIKE),foot,,
,,168.00 ,1,descriptor,foot,EXTENT FOOT,,,
,,168.00 ,2,transform,(aysenur),PULL,(shoelaces),,
,,168.00 ,3,transform,(aysenur),MOVE AROUND,(shoelaces),,
,,169.00 ,1,descriptor,elephant trunk,TRACE TRUNK,,,
,,170.00 ,1,no prop,,,,,
,,171.00 ,1,descriptor,blocks,EXTENT BLOCKS,,,
,,172.00 ,1,descriptor,building set,EXTENT BUILDING SET,,,
,,173.00 ,1,existence,q,(---),,,
,,173.00 ,2,existence,truck,(---),,,
,,173.00 ,3,existence,loader,(---),,,
,,174.00 ,1,q,,,,,
,,176.00 ,1,q,,,,,
,,177.00 ,1,q,,,,,
,,178.00 ,1,no prop,,,,,
,,179.00 ,1,no prop,,,,,
,,180.00 ,1,descriptor,(seesaw),EXTENT SEESAW,,,
,,180.00 ,2,existence,bear,(---),,,
,,180.00 ,3,transport,bear,GO DOWN,,(ground),
,,181.00 ,1,perform,(bear),GO UP AND DOWN,,,(seesaw) | |
,,182.00 ,1,descriptor,(jungle gym),TRACE JUNGLE GYM,,,
,,183.00 ,1,perform,(someone),GO UP AND DOWN,,,(swing) | |
,,184.00 ,1,transform,(someone),PICK UP,(someone),,
,,184.00 ,2,transform,(someone),GRASP,(ladder rung),,
,,184.00 ,3,transport,(someone),GO UP,,(top of ladder),
,,185.00 ,1,transform,(someone),HOLD ,(kite string),,
,,185.00 ,2,transfer,(someone),MOVE UP,(kite string),(somewhere),
,,186.00 ,1,existence,cat,(---),,,
,,187.00 ,1,transform,(someone),HOLD,hoop,,
,,187.00 ,2,transfer,(someone),MOVE DOWN,hoop,(ground),
,,187.00 ,3,transfer,(someone),MOVE BACK,hoop,(someplace),
,,188.00 ,1,q,,,,,
,,189.00 ,1,existence,jungle gym,(---),,,
,,189.00 ,2,existence,lisa,(---),,,
,,189.00 ,3,existence,cat,(---),,,
,,189.00 ,4,existence,bear,(---),,,
,,189.00 ,5,existence,rabbit,(---),,,
,,190.00 ,1,descriptor,(slide),EXTENT SLIDE,,,
,,191.00 ,1,transform,cat,MOVE AROUND,(jumprope),,
,,191.00 ,2,perform,cat,GO UP AND DOWN,,,
,,192.00 ,1,transport,helicopter,GO LEFT,,(somewhere),
,,193.00 ,1,transport,light plane,GO LEFT ,,(somewhere),
,,193.00 ,2,transport,jet plane,GO LEFT,,(somewhere),
,,193.00 ,3,transport,jet passenger plane,GO LEFT,,(somewhere),
,,194.00 ,1,transport,blimp,GO LEFT,,(somewhere),
,,195.00 ,1,transport,fox,GO UP,,(somewhere),
,,196.00 ,1,descriptor,runway,EXIST FLAT SHAPE,,,
,,196.00 ,2,existence,page,(---),,,
,,196.00 ,3,q,,,,,
,,197.00 ,1,no prop,,,,,
,,198.00 ,1,existence,book,(---),,,
,,199.00 ,1,existence,puzzle piece,(---),,,
,,200.00 ,1,transform,(someone),PRESS ,(remote control),,
,,201.00 ,1,existence,tigger,(---),,,
,,201.00 ,2,existence,rabbit,(---),,,
,,202.00 ,1,descriptor,(rabbit),POSE RABBIT,,,
,,203.00 ,1,existence,tigger,(---),,,
,,204.00 ,1,transfer,roo,MOVE TO,(spoon),(mouth),
,,205.00 ,1,transform,character,HOLD,(something),,
,,206.00 ,1,transform,(character),HOLD,(basket),,
,,207.00 ,1,no prop,,,,,
,,208.00 ,1,descriptor,(corner),TRACE CORNER,,,
,,209.00 ,1,existence,play surface,(---),,,
,,210.00 ,1,existence,self,(---),,,
,,211.00 ,1,existence,puzzle piece,(---),,,
,,211.00 ,2,transform,Pooh,PAT,(snowman),,
,,211.00 ,3,descriptor,(snowball),EXIST ROUND SHAPE,,,
,,211.00 ,4,transform,(someone),HOLD,(snowball),,
,,211.00 ,5,transform,(someone),PAT,(snowball),,
,,211.00 ,6,transform,(someone),ROTATE,(snowball),,
,,211.00 ,7,transform,(someone),HOLD,(snowball),,
,,211.00 ,8,transform,(someone),THROW,(snowball),,
,,212.00 ,1,descriptor,(snowball),EXTENT SPHERE,,,
,,212.00 ,2,transfer,(someone),MOVE RIGHT,(snowball),(somewhere),
,,212.00 ,3,transform,(someone),PUT DOWN,(snowball),,
,,212.00 ,4,transform,(someone),PICK UP,(snowball),,
,,213.00 ,1,transform,tigger,HOLD,(box),,
,,213.00 ,2,transfer,tigger,MOVE TO,(food),(mouth),
,,213.00 ,3,transform,tigger,CHEW,(something),,
,,214.00 ,1,existence,play surface,(---),,,
,,215.00 ,1,existence,play surface,(---),,,
,,216.00 ,1,existence,owl,(---),,,
,,216.00 ,2,existence,pooh,(---),,,
,,216.00 ,3,existence,tigger,(---),,,
,,216.30 ,1,existence,rabbit,(---),,,
,,216.50 ,1,existence,roo,(---),,,
,,216.50 ,2,existence,kanga,(---),,,
,,216.50 ,3,existence,piglet,(---),,,
,,216.70 ,1,existence,owl,(---),,,
,,217.00 ,1,existence,piglet,(---),,,
,,217.00 ,2,existence,owl,(---),,,
,,218.00 ,1,existence,pooh,(---),,,
,,218.00 ,2,existence,sun,(---),,,
,,218.00 ,3,existence,tree,(---),,,
,,219.00 ,1,existence,rabbit,(---),,,
,,219.00 ,2,existence,self,(---),,,
,,220.00 ,1,transform,(aysenur),HOLD ,carrots,,
,,220.00 ,2,transform,(aysenur),CHEW,carrots,,
,,221.00 ,1,transform,piglet,HOLD,(something),,
,,221.50 ,1,transfer,(someone),MOVE LEFT,(something),(somewhere),
,,221.50 ,2,transform,(someone),CHEW,(something),,
,,222.00 ,1,descriptor,(umbrella),EXIST SHAPE,,,
,,222.00 ,2,existence,pooh,(---),,,
,,223.00 ,1,existence,puzzle,(---),,,
,,223.00 ,2,existence,piglet,(---),,,
,,223.00 ,3,existence,rabbit,(---),,,
,,223.00 ,4,existence,tigger,(---),,,
,,223.00 ,5,existence,pooh,(---),,,
,,223.00 ,6,existence,roo,(---),,,
,,224.00 ,1,existence,roo,(---),,,
,,225.00 ,2,existence,q,(---),,,
