xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
43.00 ,TDC101 S02 child,,43,1,girl rabbit,en,seq (-),boy rabbit ,(---),,,,,43.00 ,2,existence
,,,43,2,boy rabbit ,en,end (•),,,,,,,,,
44.00 ,TDC101 S02 child,,44,1,CIRCULAR EXTENT,de1,sim (+),(puzzle),CIRCULAR EXTENT,,,,,44.00 ,1,descriptor
,,,44,2,self,ar,seq (-),,,,,,,,,
,,,44,3,self,ar,seq (-),,,,,,,,,
,,,44,4,q,q,end (•),,,,,,,,,
44.00 ,TDC101 S02 child,,44,1,CIRCULAR EXTENT,de1,sim (+),self,(assemble),(puzzle),,,,44.00 ,2,transform
,,,44,2,self,ar,seq (-),,,,,,,,,
,,,44,3,self,ar,seq (-),,,,,,,,,
,,,44,4,q,q,end (•),,,,,,,,,
45.00 ,TDC101 S02 child,,45,1,puzzle,en1,seq (-),mother,(ACT ON),v,,,,45.00 ,1,transform
,,,45,2,mother,en2,sim (+),,,,,,,,,
,,,45,3,wobble,wobble,end (•),,,,,,,,,
46.00 ,TDC101 S02 child,,46,1,boy rabbit,en,seq (-),boy rabbit,(IS LIKE),mother,,,,46.00 ,1,similarity
,,,46,2,mother,sim,end (•),,,,,,,,,
47.00 ,TDC101 S02 child,,47,1,girl rabbit ,en1,seq (-),girl rabbit ,(---),,,,,47.00 ,1,existence
,,,47,2,boy rabbit,en2,seq (-),,,,,,,,,
,,,47,3,mother,sim2,seq (-),,,,,,,,,
,,,47,4,mother,sim2,seq (-),,,,,,,,,
,,,47,5,girl rabbit,en2,seq (-),,,,,,,,,
,,,47,6,q,q,abt (•),,,,,,,,,
47.00 ,TDC101 S02 child,,47,1,girl rabbit ,en1,seq (-),boy rabbit,(IS LIKE),mother,,,,47.00 ,2,similarity
,,,47,2,boy rabbit,en2,seq (-),,,,,,,,,
,,,47,3,mother,sim2,seq (-),,,,,,,,,
,,,47,4,mother,sim2,seq (-),,,,,,,,,
,,,47,5,girl rabbit,en2,seq (-),,,,,,,,,
,,,47,6,q,q,abt (•),,,,,,,,,
47.50 ,TDC101 S02 child,,47.5,1,girl rabbit,ar1,seq (-),boy rabbit,(IS LIKE),(dad),,wall | |,,47.50 ,1,similarity
,,,47.5,2,boy rabbit,ar2,seq (-),,,,,,,,,
,,,47.5,3,wall,pla1/pla2,end (•),,,,,,,,,
47.50 ,TDC101 S02 child,,47.5,1,girl rabbit,ar1,seq (-),(dad),(BELONGS/GOES),,other room,wall | |,,47.50 ,2,stat loc
,,,47.5,2,boy rabbit,ar2,seq (-),,,,,,,,,
,,,47.5,3,wall,pla1/pla2,end (•),,,,,,,,,
48.00 ,TDC101 S02 child,,48,1,girl rabbit,en1/ar2,sim (+),girl rabbit,(IS LIKE),self,,,,48.00 ,1,similarity
,,,48,2,self,sim1,seq (-),,,,,,,,,
,,,48,3,self,sim1,seq (-),,,,,,,,,
,,,48,4,wall,pla2,end (•),,,,,,,,,
48.00 ,TDC101 S02 child,,48,1,girl rabbit,en1/ar2,sim (+),girl rabbit,(paints),,,wall | |,,48.00 ,2,perform
,,,48,2,self,sim1,seq (-),,,,,,,,,
,,,48,3,self,sim1,seq (-),,,,,,,,,
,,,48,4,wall,pla2,end (•),,,,,,,,,
49.00 ,TDC101 S02 child,,49,1,MOVE UP AND DOWN,ac1,seq (-),(rabbit),MOVE UP AND DOWN,(paintbrush),,wall | |,,49.00 ,1,transform
,,,49,2,wall,pla1,seq (-),,,,,,,,,
,,,49,3,self,en2,end (•),,,,,,,,,
49.00 ,TDC101 S02 child,,49,1,MOVE UP AND DOWN,ac1,seq (-),self,(IS LIKE),(rabbit),,,,49.00 ,2,similarity
,,,49,2,wall,pla1,seq (-),,,,,,,,,
,,,49,3,self,en2,end (•),,,,,,,,,
50.00 ,TDC101 S02 child,,50,1,blue,en1,seq (-),blue,(---),,,,,50.00 ,1,existence
,,,50,2,self,en2,seq (-),,,,,,,,,
,,,50,3,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,4,self,en2,sim (+),,,,,,,,,
,,,50,5,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,6,girl rabbit,en3,seq (-),,,,,,,,,
,,,50,7,EXTENT WALL,de4,seq (-),,,,,,,,,
,,,50,8,mother,sim3,end (•),,,,,,,,,
50.00 ,TDC101 S02 child,,50,1,blue,en1,seq (-),self,(IS LIKE),boy rabbit,,,,50.00 ,2,similarity
,,,50,2,self,en2,seq (-),,,,,,,,,
,,,50,3,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,4,self,en2,sim (+),,,,,,,,,
,,,50,5,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,6,girl rabbit,en3,seq (-),,,,,,,,,
,,,50,7,EXTENT WALL,de4,seq (-),,,,,,,,,
,,,50,8,mother,sim3,end (•),,,,,,,,,
50.00 ,TDC101 S02 child,,50,1,blue,en1,seq (-),girl rabbit,(IS LIKE),mother,,,,50.00 ,3,similarity
,,,50,2,self,en2,seq (-),,,,,,,,,
,,,50,3,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,4,self,en2,sim (+),,,,,,,,,
