xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
54,TDC101 S02 child,00:41:40:15,,54,1,boy rabbit,en,seq (-),1
,,,,54,2,q,sim,end (•),
55,TDC101 S02 child,00:41:42:07,,55,1,girl rabbit,en,end (•),1
56,TDC101 S02 child,00:41:47:02,,56,1,girl rabbit,en1,seq (-),1
,,,,56,2,q,sim1,seq (-),
,,,,56,3,boy rabbit ,en2,seq (-),
,,,,56,4,q,sim2,seq (-),
,,,,56,5,girl rabbit,en1,end (•),
56,TDC101 S02 child,00:41:47:02,,56,1,girl rabbit,en1,seq (-),2
,,,,56,2,q,sim1,seq (-),
,,,,56,3,boy rabbit ,en2,seq (-),
,,,,56,4,q,sim2,seq (-),
,,,,56,5,girl rabbit,en1,end (•),
57,TDC101 S02 child,00:41:54:12,,57,1,mother,en1/en2,seq (-),1
,,,,57,2,boy rabbit,sim1,seq (-),
,,,,57,3,mother,en1/en2,seq (-),
,,,,57,4,girl rabbit,sim2,seq (-),
,,,,57,5,self,en3,seq (-),
,,,,57,6,girl rabbit,sim3,seq (-),
,,,,57,7,girl rabbit,sim3,sim (+),
,,,,57,8,self,en3,end (•),
57,TDC101 S02 child,00:41:54:12,,57,1,mother,en1/en2,seq (-),2
,,,,57,2,boy rabbit,sim1,seq (-),
,,,,57,3,mother,en1/en2,seq (-),
,,,,57,4,girl rabbit,sim2,seq (-),
,,,,57,5,self,en3,seq (-),
,,,,57,6,girl rabbit,sim3,seq (-),
,,,,57,7,girl rabbit,sim3,sim (+),
,,,,57,8,self,en3,end (•),
57,TDC101 S02 child,00:41:54:12,,57,1,mother,en1/en2,seq (-),3
,,,,57,2,boy rabbit,sim1,seq (-),
,,,,57,3,mother,en1/en2,seq (-),
,,,,57,4,girl rabbit,sim2,seq (-),
,,,,57,5,self,en3,seq (-),
,,,,57,6,girl rabbit,sim3,seq (-),
,,,,57,7,girl rabbit,sim3,sim (+),
,,,,57,8,self,en3,end (•),
58,TDC101 S02 child,00:42:02:17,,58,1,hair,en1,seq (-),1
,,,,58,2,puzzle panel,sim1,seq (-),
,,,,58,3,girl rabbit,po2,seq (-),
,,,,58,4,girl rabbit,po2,end (•),
58,TDC101 S02 child,00:42:02:17,,58,1,hair,en1,seq (-),2
,,,,58,2,puzzle panel,sim1,seq (-),
,,,,58,3,girl rabbit,po2,seq (-),
,,,,58,4,girl rabbit,po2,end (•),
59,TDC101 S02 child,00:42:08:18`,,59,1,HOLD,ac1,sim (+),1
,,,,59,2,MOVE CIRCLE,ac2,seq (-),
,,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),
59,TDC101 S02 child,00:42:08:18`,,59,1,HOLD,ac1,sim (+),2
,,,,59,2,MOVE CIRCLE,ac2,seq (-),
,,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),
59,TDC101 S02 child,00:42:08:18`,,59,1,HOLD,ac1,sim (+),3
,,,,59,2,MOVE CIRCLE,ac2,seq (-),
,,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),
60,TDC101 S02 child,00:42:15:09,,60,1,HOLD,ac1,seq (-),1
,,,,60,2,left hand,en2,seq (-),
,,,,60,3,HOLD,ac1,end (•),
60,TDC101 S02 child,00:42:15:09,,60,1,HOLD,ac1,seq (-),2
,,,,60,2,left hand,en2,seq (-),
,,,,60,3,HOLD,ac1,end (•),
61,TDC101 S02 child,00:42:25:21,,61,1,toys,pa,seq (-),1
,,,,61,2,self,re,end (•),
62,TDC101 S02 child,00:42:27:09,,62,1,ROTATE,ac1,sim (+),1
,,,,62,2,HOLD,ac2,end (•),
62,TDC101 S02 child,00:42:27:09,,62,1,ROTATE,ac1,sim (+),2
,,,,62,2,HOLD,ac2,end (•),
63,TDC101 S02 child,00:42:31:13,,63,1,toy bag,en,end (•),1
64,TDC101 S02 child,00:43:21:08,,64,1,pm toy,en,end (•),1
65,TDC101 S02 child,00:43:25:10,,65,1,flip,flip,seq (-),1
,,,,65,2,pm toy,en,end (•),
66,TDC101 S02 child,00:43:34:04,,66,1,nod,nod,end (•),1
67,TDC101 S02 child,00:44:29:26,,67,1,q,q,end (•),1
67.5,TDC101 S02 child,00:44:33:15,,67.5,1,play area,en,end (•),1
68,TDC101 S02 child,00:44:51:08,,68,1,chair,en,end (•),1
68.5,TDC101 S02 child,00:45:08:24,,68.5,1,nod,nod,end (•),1
69,TDC101 S02 child,00:45:15:27,,69,1,pm person,en1,sim (+),1
,,,,69,2,self,sim1,seq (-),
,,,,69,3,pm person,en1,seq (-),
,,,,69,4,TRACE HAIR,de2,seq (-),
,,,,69,5,hair,en2,sim (+),
,,,,69,6,pm person,en1,end (•),
69,TDC101 S02 child,00:45:15:27,,69,1,pm person,en1,sim (+),2
,,,,69,2,self,sim1,seq (-),
,,,,69,3,pm person,en1,seq (-),
,,,,69,4,TRACE HAIR,de2,seq (-),
,,,,69,5,hair,en2,sim (+),
,,,,69,6,pm person,en1,end (•),
70,TDC101 S02 child,00:45:18:17,,70,1,pm person,en,sim (+),1
,,,,70,2,hair,sim,end (•),
70.5,TDC101 S02 child,00:45:21:03,,70.5,1,MOVE UP,ac,seq (-),1
,,,,70.5,2,pm person,ar,end (•),
71,TDC101 S02 child,00:45:33:16,,71,1,POUR,ac,end (•),1
72,TDC101 S02 child,00:46:23:04,,72,1,PUT IN,ac1,seq (-),1
,,,,72,2,PUT IN,ac1,seq (-),
,,,,72,3,GIVE,ac2,end (•),
72,TDC101 S02 child,00:46:23:04,,72,1,PUT IN,ac1,seq (-),2
,,,,72,2,PUT IN,ac1,seq (-),
,,,,72,3,GIVE,ac2,end (•),
73,TDC101 S02 child,00:46:24:07,,73,1,head shake,head shake,end (•),1
74,TDC101 S02 child,00:47:09:02,,74,1,pm plant,en,end (•),1
75,TDC101 S02 child,00:47:16:26,,75,1,pm plant,en,end (•),1
76,TDC101 S02 child,00:47:21:29,,76,1,pm plant,en,end (•),1
77,TDC101 S02 child,00:47:35:01,,77,1,pm cabinet/lamp,en,end (•),1
78,TDC101 S02 child,00:47:47:27,,78,1,q,en,end (•),1
79,TDC101 S02 child,00:47:46:25,,79,1,q,en,seq (-),1
,,,,79,2,q,en,seq (-),
,,,,79,3,tap,tap,end (•),
80,TDC101 S02 child,00:47:53:13,,80,1,pm pot,en,end (•),1
81,TDC101 S02 child,00:48:01:19,,81,1,flip,flip,end (•),1
82,TDC101 S02 child,00:48:14:02,,82,1,flip,flip,end (•),1
83,TDC101 S02 child,00:48:16:19,,83,1,flip,flip,end (•),1
84,TDC101 S02 child,00:48:22:22,,84,1,flip,flip,seq (-),1
,,,,84,2,pm lamp,en,seq (-),
,,,,84,3,flip,flip,seq (-),
,,,,84,4,tap,tap,seq (-),
,,,,84,5,tap,tap,seq (-),
,,,,84,6,pm lamp,en,seq (-),
,,,,84,7,pm lamp,en,end (•),
85,TDC101 S02 child,00:48:25:11,,85,1,flip,flip,seq (-),1
,,,,85,2,self,en,sim (+),
,,,,85,3,shrug,shrug,seq (-),
,,,,85,4,flip,flip,end (•),
86,TDC101 S02 child,00:48:26:28,,86,1,self,en,end (•),1
86.5,TDC101 S02 child,00:48:29:08,,86.5,1,B-rejection,B-rejection,end (•),1
87,TDC101 S02 child,00:48:37:23,,87,1,nod,nod,end (•),1
88,TDC101 S02 child,00:48:40:07,,88,1,B-rejection,B-rejection,seq (-),1
,,,,88,2,B-rejection,B-rejection,end (•),
89,TDC101 S02 child,00:48:43:07,,89,1,flip,flip,end (•),1
90,TDC101 S02 child,00:48:57:14,,90,1,pm tv,en,seq (-),1
,,,,90,2,pm TV screen,en,end (•),
91,TDC101 S02 child,00:49:06:00,,91,1,TV,en,seq (-),1
,,,,91,2,pm TV,sim,seq (-),
,,,,91,3,TV,en,seq (-),
,,,,91,4,pm TV,sim,seq (-),
,,,,91,5,TV,en,end (•),
92,TDC101 S02 child,00:49:14:20,,92,1,SLEEP,ac,seq (-),1
,,,,92,2,SLEEP,ac,seq (-),
,,,,92,3,SLEEP,ac,end (•),
93,TDC101 S02 child,00:49:21:15,,93,1,shrug,shrug,sim (+),1
,,,,93,2,flip,flip,seq (-),
,,,,93,3,self,ar,seq (-),
,,,,93,4,pm beds,pla,seq (-),
,,,,93,5,pm beds,pla,seq (-),
,,,,93,6,self,ar,end (•),
94,TDC101 S02 child,00:49:23:28,,94,1,couch,en,end (•),1
95,TDC101 S02 child,00:49:28:09,,95,1,pm toys ,en,end (•),1
96,TDC101 S02 child,00:50:02:13,,96,1,instruction sheet,en,end (•),1
